"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-07-04","CZ","67","mobile","1909","12928.83"
"2025-07-04","CZ","67","pc","160","1472.73"
"2025-07-04","CZ","13","mobile","79","635.49"
"2025-07-04","CZ","68","pc","5","14.07"
"2025-05-06","CZ","67","tablet","9","69.82"
"2025-05-08","CZ","27","pc","4157","25574.35"
"2025-05-08","CZ","69","mobile","568","3062.73"
"2025-05-08","CZ","18","mobile","187","1443.48"
"2025-05-08","CZ","44","mobile","39","322.93"
"2025-05-20","CZ","35","mobile","180","1008.83"
"2025-05-20","CZ","34","pc","1841","12883.6"
"2025-05-20","CZ","69","mobile","428","2191.37"
"2025-05-20","CZ","31","tablet","80","439.72"
"2025-05-20","CZ","62","mobile","2","7.16"
"2025-05-23","CZ","30","pc","191","1398.06"
"2025-05-23","CZ","5","pc","1140","7571.48"
"2025-05-23","CZ","10","mobile","393","2473.97"
"2025-05-23","CZ","10","pc","39","337.86"
"2025-05-23","CZ","12","mobile","127","883.06"
"2025-05-23","CZ","23","tablet","23","137.66"
"2025-05-22","CZ","10","mobile","409","2686.27"
"2025-05-22","CZ","26","pc","1680","8924.32"
"2025-05-22","CZ","43","pc","849","5512.47"
"2025-05-22","CZ","20","pc","242","1530.66"
"2025-05-22","CZ","","tablet","11","58.16"
"2025-05-24","CZ","57","mobile","28","132.59"
"2025-05-24","CZ","62","mobile","19","128.42"
"2025-05-24","CZ","69","pc","123","762.41"
"2025-05-24","CZ","61","tablet","63","396.78"
"2025-05-24","CZ","39","mobile","17490","75363.99"
"2025-05-24","CZ","34","tablet","71","446.63"
"2025-05-24","CZ","7","pc","25","130.82"
"2025-06-07","CZ","32","mobile","211","1025.37"
"2025-06-07","CZ","18","mobile","314","2166.13"
"2025-06-06","CZ","67","tablet","6","39.75"
"2025-06-06","CZ","18","mobile","279","1839.73"
"2025-06-06","CZ","10","mobile","262","2056.22"
"2025-06-06","CZ","11","mobile","359","1834.91"
"2025-06-06","CZ","35","mobile","204","964.6"
"2025-06-06","CZ","61","tablet","54","278.81"
"2025-06-06","CZ","16","mobile","61","911.81"
"2025-06-06","CZ","5","tablet","77","480.39"
"2025-06-05","CZ","29","mobile","8008","34514.46"
"2025-06-05","CZ","33","tablet","136","577.67"
"2025-06-05","CZ","7","mobile","71","413.94"
"2025-06-05","CZ","22","tablet","87","576.95"
"2025-06-05","CZ","69","tablet","2","8.3"
"2025-06-05","CZ","45","mobile","5","35.45"
"2025-06-09","CZ","27","mobile","5669","31997.04"
"2025-06-09","CZ","5","mobile","16695","102289.27"
"2025-06-09","CZ","69","mobile","280","1259.76"
"2025-06-09","CZ","67","pc","227","1520.07"
"2025-06-09","CZ","65","mobile","103","385.74"
"2025-06-09","CZ","66","pc","136","891.33"
"2025-06-09","CZ","69","tablet","3","13.7"
"2025-06-09","CZ","18","tablet","5","43.39"
"2025-06-08","CZ","27","mobile","8728","48896.21"
"2025-06-08","CZ","5","mobile","21804","131792.06"
"2025-06-08","CZ","17","mobile","2614","14910.96"
"2025-06-08","CZ","30","mobile","646","3526.54"
"2025-06-08","CZ","30","pc","343","2176.53"
"2025-06-08","CZ","64","mobile","43","213.46"
"2025-06-21","CZ","34","mobile","4624","21280.82"
"2025-06-21","CZ","52","mobile","667","4372.8"
"2025-06-21","CZ","20","pc","116","690.65"
"2025-06-21","CZ","69","mobile","308","1876.26"
"2025-06-21","CZ","18","pc","19","179.78"
"2025-05-13","CZ","34","pc","3351","12769.14"
"2025-05-13","CZ","35","mobile","314","1130.46"
"2025-05-13","CZ","6","pc","580","3816.87"
"2025-05-13","CZ","18","pc","129","674.63"
"2025-05-13","CZ","25","pc","606","3749.3"
"2025-06-04","CZ","22","mobile","14618","82697.42"
"2025-06-04","CZ","18","pc","117","655.29"
"2025-06-04","CZ","28","tablet","163","624.41"
"2025-06-04","CZ","57","mobile","81","333.72"
"2025-06-04","CZ","70","pc","73","336.3"
"2025-06-04","CZ","52","tablet","22","123.54"
"2025-06-04","CZ","39","mobile","11908","48347"
"2025-06-15","CZ","23","mobile","3571","23119.21"
"2025-06-15","CZ","12","mobile","118","777.28"
"2025-06-15","CZ","64","pc","23","164.98"
"2025-06-15","CZ","20","mobile","1204","5939.92"
"2025-06-15","CZ","62","mobile","26","100.27"
"2025-06-15","CZ","66","mobile","351","1704.9"
"2025-06-15","CZ","69","pc","67","424.08"
"2025-06-15","CZ","28","tablet","73","498.21"
"2025-06-26","CZ","22","mobile","15798","100428.2"
"2025-06-26","CZ","31","pc","3881","24799.49"
"2025-06-26","CZ","26","mobile","1437","8242.71"
"2025-06-26","CZ","10","mobile","278","2524.53"
"2025-06-26","CZ","57","pc","486","2915.78"
"2025-06-26","CZ","20","mobile","826","4688.17"
"2025-06-26","CZ","66","pc","70","531.5"
"2025-06-26","CZ","20","tablet","12","64.9"
"2025-06-26","CZ","5","tablet","49","388.9"
"2025-06-26","CZ","18","tablet","13","94.16"
"2025-06-17","CZ","67","mobile","1911","11272.53"
"2025-06-17","CZ","31","pc","4675","26972.25"
"2025-06-17","CZ","20","mobile","838","4283.53"
"2025-06-17","CZ","70","pc","37","176.68"
"2025-06-17","CZ","11","mobile","424","2574.37"
"2025-06-17","CZ","35","mobile","114","535.86"
"2025-06-17","CZ","37","pc","8","57.35"
"2025-06-17","CZ","68","mobile","3","23.31"
"2025-06-17","CZ","18","tablet","9","73.52"
"2025-06-10","CZ","61","mobile","4791","25717.08"
"2025-06-10","CZ","6","pc","456","3187.03"
"2025-05-20","CZ","43","pc","706","4992.17"
"2025-05-22","CZ","5","pc","1314","8983.65"
"2025-05-24","CZ","6","mobile","11398","75561.66"
"2025-05-24","CZ","62","pc","372","2730.42"
"2025-05-24","CZ","32","pc","95","445.99"
"2025-06-07","CZ","43","pc","78","572.99"
"2025-06-06","CZ","33","mobile","2247","10531.76"
"2025-06-06","CZ","33","pc","1310","6528.78"
"2025-06-09","CZ","5","tablet","80","527.41"
"2025-06-09","CZ","34","tablet","89","491.94"
"2025-06-21","CZ","58","mobile","2050","18054.1"
"2025-05-13","CZ","16","mobile","66","560.78"
"2025-06-04","CZ","30","mobile","218","1250.64"
"2025-06-26","CZ","58","pc","508","4839.21"
"2025-06-26","CZ","65","pc","73","400.18"
"2025-06-17","CZ","29","mobile","6083","29136.46"
"2025-06-17","CZ","39","mobile","11755","49523.17"
"2025-06-17","CZ","9","tablet","1","35.63"
