"date","country","channel_id","currency","spend"
"2025-05-15","SK","61","EUR","715.14755083"
"2025-05-15","HR","43","EUR","11.38347"
"2025-05-15","CZ","52","CZK","7034.984614062"
"2025-05-12","RO","46","RON","1753.783141761"
"2025-05-15","BG","2","EUR","114.21284282"
"2025-05-16","PL","39","PLN","604.362730095"
"2025-05-16","BG","22","BGN","1304.320440474"
"2025-05-15","HR","5","EUR","1519.65045"
"2025-05-15","SK","11","EUR","113.66352"
"2025-05-16","SE","29","SEK","0"
"2025-05-14","PL","17","PLN","8565.357970413"
"2025-05-16","BG","23","BGN","39.386081538"
"2025-05-16","HR","36","EUR","119.096961498"
"2025-05-16","HR","38","EUR","29.641351914"
"2025-05-16","BG","61","BGN","397.390531066"
"2025-05-16","CZ","44","CZK","1673.94069"
"2025-05-16","PL","6","PLN","3362.65992"
"2025-05-17","CZ","58","CZK","106227.509791716"
"2025-05-17","CZ","20","CZK","21273.036525531"
"2025-05-16","SK","18","EUR","362.891297817"
"2025-05-17","UK","29","GBP","0"
"2025-05-17","PL","58","PLN","1218.866965083"
"2025-05-16","RO","61","RON","1231.922799927"
"2025-05-17","CZ","17","CZK","10611.780996744"
"2025-05-17","SK","20","EUR","838.73789262"
"2025-05-17","PL","2","PLN","301.44798"
"2025-05-18","CZ","22","CZK","873862.28603613"
"2025-05-18","GR","22","EUR","269.880858792"
"2025-05-18","HR","29","EUR","1236.855384"
"2025-05-17","CZ","6","CZK","129856.20651"
"2025-05-17","RO","5","RON","24929.85636"
"2025-05-18","PL","39","PLN","100.008534195"
"2025-05-17","RO","4","RON","628.91532"
"2025-05-17","GR","9","EUR","57.00294"
"2025-05-17","RO","18","RON","114.625003824"
"2025-05-17","HR","38","EUR","29.551956012"
"2025-05-18","SK","20","EUR","999.121823937"
"2025-05-17","RO","52","RON","1909.36557108"
"2025-05-18","CZ","20","CZK","26712.157422159"
"2025-05-18","SK","62","EUR","84.19203"
"2025-05-18","HU","9","HUF","174229.857"
"2025-05-18","BG","9","EUR","129.460750665"
"2025-05-19","CZ","22","CZK","351012.004228044"
"2025-05-19","BG","22","BGN","2087.53139835"
"2025-05-19","CZ","17","CZK","355.486267845"
"2025-05-18","CZ","5","CZK","251531.49258"
"2025-05-18","IT","5","EUR","773.33418"
"2025-05-19","BG","29","BGN","0"
"2025-05-18","SK","36","EUR","222.094649412"
"2025-05-19","SK","20","EUR","933.84741213"
"2025-05-19","SK","17","EUR","270.451281906"
"2025-05-18","SK","11","EUR","128.78442"
"2025-05-19","UK","23","GBP","1.708704495"
"2025-05-19","RO","38","RON","1861.294181526"
"2025-05-19","HR","46","EUR","317.109292407"
"2025-05-19","PL","2","PLN","342.10323"
"2025-05-20","SI","22","EUR","1876.545797427"
"2025-05-19","CZ","2","CZK","24863.78088"
"2025-05-20","IT","22","EUR","189.614785032"
"2025-05-19","IT","5","EUR","677.10249"
"2025-05-20","HR","61","EUR","667.21411776"
"2025-05-20","SK","52","EUR","240.419722329"
"2025-05-16","CZ","25","CZK","18622.1016"
"2025-05-20","SI","23","EUR","40.019667219"
"2025-05-19","BG","5","EUR","652.895146863"
"2025-05-20","GR","29","EUR","0"
"2025-05-19","SI","6","EUR","109.95462"
"2025-05-20","BG","46","BGN","25.61089599"
"2025-05-20","HU","46","HUF","329064.755369985"
"2025-05-20","PL","23","PLN","466.795469421"
"2025-05-19","CZ","61","CZK","117062.86074315"
"2025-05-19","RO","4","RON","627.97383"
"2025-05-20","PL","18","PLN","197.963932617"
"2025-05-20","CZ","36","CZK","19885.249173537"
"2025-05-20","PL","52","PLN","87.160328289"
"2025-05-20","BG","2","EUR","116.202473271"
"2025-05-20","SK","3","EUR","110.49669"
"2025-05-20","BG","9","EUR","117.817169829"
"2025-05-20","CZ","43","CZK","2869.4652336"
"2025-05-20","CZ","62","CZK","50066.338392"
"2025-05-20","SI","2","EUR","65.98989"
"2025-05-21","PL","39","PLN","245.808876708"
"2025-05-21","SK","23","EUR","253.236944655"
"2025-05-21","IT","29","EUR","177.291126"
"2025-05-20","HR","5","EUR","1635.36813"
"2025-05-21","GR","22","EUR","426.949584138"
"2025-05-20","HU","36","HUF","92498.93823528"
"2025-05-21","HR","18","EUR","83.034662049"
"2025-05-21","SK","52","EUR","214.77158613"
"2025-05-21","IT","23","EUR","26.24135193"
"2025-05-21","BG","2","EUR","118.573044787"
"2025-05-21","PL","11","PLN","126.41643"
"2025-05-22","SK","52","EUR","156.474967545"
"2025-05-22","CZ","58","CZK","112679.514017694"
"2025-05-22","SK","62","EUR","118.9701"
"2025-05-21","GR","9","EUR","56.03292"
"2025-05-22","HU","23","HUF","96472.076051223"
"2025-05-21","BG","5","EUR","620.374170319"
"2025-05-22","CZ","23","CZK","13933.949677155"
"2025-05-20","CZ","37","CZK","28304.613"
"2025-05-22","RO","23","RON","3596.821689537"
"2025-05-11","RO","61","RON","763.413365878"
"2025-05-12","GR","29","EUR","0"
"2025-05-13","HR","23","EUR","278.600593959"
"2025-05-13","SI","46","EUR","24.423254856"
"2025-05-13","HR","61","EUR","635.336923885"
"2025-05-13","RO","36","RON","2060.96457618"
"2025-05-14","CZ","36","CZK","20555.634805695"
"2025-05-14","CZ","27","CZK","133577.08911"
"2025-05-15","GR","23","EUR","1.112230638"
"2025-05-14","PL","11","PLN","120.31101"
"2025-05-12","CZ","18","CZK","3167.770648365"
"2025-05-13","RO","52","RON","768.754923849"
"2025-05-16","CZ","22","CZK","458334.03608676"
"2025-05-15","HR","9","EUR","117.2583"
"2025-05-15","RO","6","RON","14505.10848"
"2025-05-14","CZ","18","CZK","5221.928106342"
"2025-05-16","SK","5","EUR","3012.65388"
"2025-05-17","BG","46","BGN","23.542020216"
"2025-05-17","HU","5","HUF","1702887.228"
"2025-05-18","PL","5","PLN","7697.70783"
"2025-05-18","RO","2","RON","3462.57198"
"2025-05-18","IT","9","EUR","21.48309"
"2025-05-18","SK","9","EUR","239.652"
"2025-05-20","CZ","22","CZK","544421.180489184"
"2025-05-20","BG","22","BGN","2899.211079492"
"2025-05-20","CZ","58","CZK","137289.62562939"
"2025-05-20","RO","52","RON","104.675069322"
"2025-05-19","CZ","44","CZK","1593.25785"
"2025-05-20","RO","38","RON","8659.175029569"
"2025-05-20","PL","58","PLN","1808.710315992"
"2025-05-20","HU","5","HUF","1726878.105"
"2025-05-20","SE","23","SEK","0"
"2025-05-21","RO","36","RON","1978.588392237"
"2025-05-21","SK","20","EUR","721.981917477"
"2025-05-21","PL","29","PLN","4560.20667"
"2025-05-21","HU","61","HUF","95096.21677164"
"2025-05-21","HU","17","HUF","161664.886223838"
"2025-05-21","CZ","27","CZK","133608.75741"
"2025-05-21","RO","52","RON","53.920553094"
"2025-05-22","PL","22","PLN","7862.947518816"
"2025-05-21","SK","36","EUR","220.523217012"
"2025-05-22","RO","39","RON","12293.647489071"
"2025-05-21","BG","9","EUR","118.461446628"
"2025-05-22","SK","29","EUR","3321.802107"
"2025-05-22","SI","29","EUR","0"
"2025-10-10","PL","9","PLN","417.59361"
"2025-10-10","HR","9","EUR","376.79571"
"2025-05-15","BG","5","EUR","621.72628605"
"2025-05-18","CZ","6","CZK","143324.59185"
"2025-05-21","HR","9","EUR","98.11467"
"2025-10-27","SI","22","EUR","1308.449875527"
"2025-10-28","SK","43","EUR","192.14955"
"2025-10-27","SK","78","EUR","33.80805"
"2025-10-28","SK","58","EUR","50.98311"
"2025-10-28","RO","22","RON","52969.514665041"
"2025-10-28","PL","22","PLN","16367.439727026"
"2025-10-28","HU","39","HUF","1582307.69364"
"2025-10-27","BG","2","EUR","424.943316936"
"2025-10-27","HR","2","EUR","108.75636"
"2025-10-26","CZ","78","CZK","3477.17934"
"2025-10-27","GR","22","EUR","104.502120462"
"2025-10-27","CZ","29","CZK","128332.56186"
"2025-10-28","HR","61","EUR","396.189791855"
"2025-10-27","SK","9","EUR","469.77498"
"2025-10-27","HU","6","HUF","628746.993"
"2025-10-28","RO","17","RON","1910.380194882"
"2025-10-28","PL","46","PLN","3757.972196277"
"2025-10-28","HU","23","HUF","190265.684762601"
"2025-10-27","RO","61","RON","1956.564351977"
"2025-10-28","CZ","61","CZK","120951.772383265"
"2025-10-28","BG","46","BGN","126.820098117"
"2025-10-27","HR","23","EUR","542.555218269"
"2025-10-28","PL","36","PLN","490.83419979"
"2025-10-28","PL","5","PLN","5359.84551"
"2025-10-29","SK","22","EUR","8036.547071085"
"2025-10-29","BG","22","BGN","4743.006970383"
"2025-10-29","BG","43","BGN","225.15752405"
"2025-10-28","SI","5","EUR","1100.80152"
"2025-10-29","RO","39","RON","7118.34912"
"2025-10-28","HU","38","HUF","0"
"2025-10-28","HU","9","HUF","209912.328"
"2025-10-28","HR","46","EUR","463.631463891"
"2025-10-29","RO","46","RON","2471.89720149"
"2025-10-29","IT","58","EUR","252.46197"
"2025-10-28","CZ","45","CZK","4003.9002"
"2025-10-29","HR","61","EUR","417.881110927"
"2025-10-29","SK","29","EUR","1483.511499"
"2025-10-29","SE","29","SEK","0"
"2025-10-28","CZ","6","CZK","164255.16987"
"2025-10-29","PL","29","PLN","5072.445702"
"2025-10-28","SK","11","EUR","119.85453"
"2025-10-28","CZ","8","CZK","592.42545"
"2025-10-25","RO","22","RON","39862.899921663"
"2025-10-24","HU","5","HUF","1542089.295"
"2025-10-24","PL","61","PLN","2247.525122401"
"2025-10-24","GR","22","EUR","125.403144255"
"2025-10-24","PL","6","PLN","3262.83345"
"2025-10-25","GR","22","EUR","134.731044873"
"2025-10-24","RO","39","RON","9995.22873"
"2025-10-24","CZ","9","CZK","6638.58864"
"2025-10-23","CZ","78","CZK","3472.50042"
"2025-10-25","RO","29","RON","3234.605868"
"2025-10-24","BG","9","EUR","152.945421307"
"2025-10-24","CZ","8","CZK","522.3843"
"2025-10-25","GR","29","EUR","0"
"2025-10-25","SE","29","SEK","0"
"2025-10-25","CZ","71","CZK","9860.96655"
"2025-10-25","SK","9","EUR","443.49885"
"2025-10-26","PL","22","PLN","16497.045157689"
"2025-10-26","RO","22","RON","53475.490640232"
"2025-10-26","CZ","52","CZK","46.868544783"
"2025-10-26","SK","39","EUR","3357.38187"
"2025-10-25","HR","5","EUR","1191.15603"
"2025-10-25","SE","23","SEK","0"
"2025-10-25","CZ","44","CZK","1289.72718"
"2025-10-25","IT","58","EUR","245.44359"
"2025-10-25","IT","17","EUR","65.497039956"
"2025-10-25","SK","46","EUR","188.372643039"
"2025-10-26","BG","23","BGN","123.225823098"
"2025-10-25","IT","6","EUR","356.88177"
"2025-10-25","HR","9","EUR","237.22695"
"2025-10-26","BG","29","BGN","0"
"2025-10-25","HR","61","EUR","530.577251846"
"2025-10-26","IT","17","EUR","67.648287546"
"2025-10-26","HR","17","EUR","1046.844730953"
"2025-10-26","UK","29","GBP","0"
"2025-10-26","CZ","71","CZK","13749.91938"
"2025-10-26","PL","2","PLN","1059.00507"
"2025-10-26","CZ","26","CZK","48226.5414"
"2025-10-26","HU","58","HUF","651436.78788"
"2025-10-26","SK","11","EUR","133.94835"
"2025-10-26","SI","5","EUR","1308.1005"
"2025-10-26","BG","5","EUR","2607.772442509"
"2025-10-26","PL","11","PLN","286.66944"
"2025-10-26","BG","9","EUR","194.738971315"
"2025-10-27","IT","23","EUR","54.43019019"
"2025-10-27","SK","52","EUR","0.639793809"
"2025-10-27","PL","36","PLN","454.703713641"
"2025-10-27","RO","17","RON","1498.362085809"
"2025-10-27","HU","46","HUF","189809.159876352"
"2025-10-15","HR","22","EUR","3898.083163221"
"2025-10-08","CZ","22","CZK","610988.740479954"
"2025-10-08","RO","22","RON","62474.868305379"
"2025-09-17","HR","22","EUR","4371.296253579"
"2025-10-13","HR","22","EUR","4361.430796407"
"2025-10-20","CZ","27","CZK","191712.92688"
"2025-10-20","SK","43","EUR","178.22691"
"2025-10-20","HU","2","HUF","120345.246"
"2025-10-20","IT","2","EUR","35.74809"
